1786185522.928715,867291136
1786185523.930445,1179181056
1786185524.9317975,1283297280
1786185525.9331992,1726251008
1786185526.9346206,2263732224
1786185527.93602,2812805120
1786185528.937328,3351248896
1786185529.9387174,3398684672
1786185530.9400163,3398782976
1786185531.9414425,3416961024
1786185532.9428582,3399036928
1786185533.9441402,3399094272
1786185534.9454405,3399208960
1786185535.9467902,3398901760
1786185536.94803,3399270400
1786185537.9492536,3399585792
1786185538.9504874,3399405568
1786185539.9509323,3499896832
1786185540.9523244,3399012352
1786185541.9537306,3399135232
1786185542.9551327,3399004160
1786185543.956539,3399208960
1786185544.9577856,3399475200
1786185545.9585278,3399385088
1786185546.9597838,3563884544
1786185547.961005,3969617920
1786185548.9624536,4446818304
1786185549.9638677,4782759936
1786185550.9652958,5197742080
1786185551.9667044,5608038400
1786185552.967194,6020255744
1786185553.969771,6438756352
1786185554.9705396,6850056192
1786185555.9717395,7259922432
1786185556.9725516,7681904640
1786185557.9739902,8137482240
1786185558.9747105,8512425984
1786185559.97612,8931065856
1786185560.9773772,9347457024
1786185561.9785802,9764782080
1786185562.9799747,10180022272
1786185563.9812996,10576150528
1786185564.9825819,10976813056
1786185565.983829,11389083648
1786185566.9850426,11807318016
1786185567.986424,12272070656
1786185568.9878387,12651933696
1786185569.989279,12683415552
1786185570.9899254,12683313152
1786185571.9907274,12683554816
1786185572.9913044,12683735040
1786185573.991995,12683456512
1786185574.9932876,12683710464
1786185575.9945254,12683366400
1786185576.9957626,12755660800
1786185577.9970298,12683689984
1786185578.9983878,12683575296
1786185579.9997926,12683436032
1786185581.0010493,12683436032
1786185582.0022748,12683669504
1786185583.0027103,12683870208
1786185584.0039618,12684255232
1786185585.0053284,12684648448
1786185586.0065727,12696702976
1786185587.0079453,12683833344
1786185588.0091848,12683980800
1786185589.0105705,12683333632
1786185590.0114598,12683755520
1786185591.0126703,12683841536
1786185592.0138724,12683943936
1786185593.0152507,12683984896
1786185594.0164924,12683878400
1786185595.0178635,12729720832
1786185596.0192752,12683558912
1786185597.0205157,12683603968
1786185598.0219069,12683776000
1786185599.0227149,12683730944
1786185600.024124,12684312576
1786185601.025387,12684005376
1786185602.0267832,12683755520
1786185603.0280356,12684369920
1786185604.0294425,12695474176
1786185605.0306864,12691578880
1786185606.0318751,12684079104
1786185607.0332625,12683681792
1786185608.0346546,12683571200
1786185609.0360599,12683976704
1786185610.0373242,12716539904
1786185611.0385468,12683968512
1786185612.0399592,12683857920
1786185613.0426545,12703727616
1786185614.0440726,12683714560
1786185615.0453837,12721967104
1786185616.0465918,12680441856
1786185617.0478456,12680589312
1786185618.0492382,12680310784
1786185619.0506892,12680458240
1786185620.0519726,12742508544
1786185621.0533843,12680712192
1786185622.0548189,12699987968
1786185623.0562303,12680077312
1786185624.05749,12680462336
