1786185523.0538013,0, 0
1786185524.1925879,0, 0
1786185525.317221,3, 0
1786185526.4216328,3, 0
1786185527.5650997,3, 0
1786185528.654856,3, 0
1786185529.8043947,3, 0
1786185530.9083946,3, 0
1786185532.0566437,3, 0
1786185533.2049456,3, 0
1786185534.3514597,3, 0
1786185535.4562652,3, 0
1786185536.565016,3, 0
1786185537.7091558,3, 0
1786185538.8569987,3, 0
1786185540.0011122,3, 0
1786185541.1483364,3, 0
1786185542.3015735,3, 0
1786185543.407164,3, 0
1786185544.5491424,3, 0
1786185545.6511009,3, 0
1786185546.7586644,3, 0
1786185547.9097273,3, 0
1786185549.0076268,3, 0
1786185550.0974605,3, 0
1786185551.2485752,3, 0
1786185552.4027228,3, 0
1786185553.548549,3, 0
1786185554.697289,3, 0
1786185555.802608,3, 0
1786185556.9287856,3, 0
1786185558.0326185,3, 0
1786185559.147936,3, 0
1786185560.2500546,3, 0
1786185561.3969054,3, 0
1786185562.4818199,3, 0
1786185563.5886574,3, 0
1786185564.728828,3, 0
1786185565.8535833,3, 0
1786185566.9395447,3, 0
1786185568.0440342,3, 0
1786185569.1853712,3, 0
1786185570.308807,3, 0
1786185571.4358904,3, 0
1786185572.5746064,3, 0
1786185573.7083337,3, 0
1786185574.812908,3, 0
1786185575.935902,3, 0
1786185577.0398066,3, 0
1786185578.181659,3, 0
1786185579.3012712,3, 0
1786185580.4112546,3, 0
1786185581.5540662,3, 0
1786185582.7006965,3, 0
1786185583.8406067,3, 0
1786185584.9947722,3, 0
1786185586.1173222,3, 0
1786185587.2572536,3, 0
1786185588.360947,3, 0
1786185589.5019932,3, 0
1786185590.625744,3, 0
1786185591.7272491,3, 0
1786185592.8481317,3, 0
1786185593.9689696,3, 0
1786185595.0948954,3, 0
1786185596.2203045,3, 0
1786185597.3729525,3, 0
1786185598.5171034,3, 0
1786185599.6570163,3, 0
1786185600.7603137,3, 0
1786185601.8627505,3, 0
1786185603.0004163,3, 0
1786185604.105937,3, 0
1786185605.2052372,3, 0
1786185606.3450603,3, 0
1786185607.469127,3, 0
1786185608.6095085,3, 0
1786185609.7520223,3, 0
1786185610.8547018,3, 0
1786185612.0059307,3, 0
1786185613.1521406,3, 0
1786185614.2771723,3, 0
1786185615.3798068,3, 0
1786185616.517348,3, 0
1786185617.6611052,3, 0
1786185618.7960045,3, 0
1786185619.897559,3, 0
1786185621.01843,3, 0
1786185622.1652052,3, 0
1786185623.2513857,3, 0
1786185624.4066143,3, 0
1786185625.5440342,3, 0
1786185626.6928031,3, 0
1786185627.829327,3, 0
1786185628.9745128,3, 0
1786185630.1420355,3, 0
1786185631.2475193,3, 0
1786185632.3530524,3, 0
1786185633.493535,3, 0
1786185634.6211157,3, 0
1786185635.7247088,3, 0
1786185636.8876767,3, 0
1786185637.9976208,3, 0
1786185639.201057,3, 0
1786185640.2864504,3, 0
1786185641.429349,3, 0
1786185642.514977,3, 0
1786185643.6220574,3, 0
1786185644.768985,3, 0
1786185645.9089832,3, 0
1786185647.0481012,3, 0
1786185648.192014,3, 0
1786185649.363523,3, 0
1786185650.4901056,3, 0
1786185651.6447377,3, 0
1786185652.7691834,3, 0
1786185653.9127574,3, 0
1786185655.0587125,3, 0
1786185656.143419,3, 0
1786185657.2889576,3, 0
1786185658.3867018,3, 0
1786185659.5089304,3, 0
1786185660.6610818,3, 0
1786185661.8126976,3, 0
1786185662.936798,3, 0
1786185664.0809653,3, 0
1786185665.2618754,23, 1
1786185666.4036992,3735, 0
1786185667.5509636,3735, 0
1786185668.6542253,3735, 0
1786185669.7519212,3735, 0
1786185670.833562,3735, 0
1786185671.9757717,3735, 0
1786185673.0817523,3735, 0
1786185674.227347,3735, 0
1786185675.3535092,3735, 0
1786185676.5135725,3735, 0
1786185677.6432514,3735, 0
1786185678.7914107,3735, 0
1786185679.9528883,3735, 0
1786185681.5828347,3735, 0
1786185682.8080652,3735, 0
1786185684.0553875,3735, 0
1786185685.4941146,3735, 0
1786185686.6534762,3735, 0
1786185687.7811127,5735, 22
1786185688.9046924,8655, 22
1786185690.052823,11655, 22
1786185691.1983023,14453, 15
1786185692.3238952,14453, 15
1786185693.468064,14453, 16
1786185694.6122925,14453, 15
1786185695.7563438,14453, 15
1786185696.9891577,14459, 0
1786185698.1844654,14463, 10
1786185699.5371103,5841, 32
1786185700.6969283,19661, 100
1786185701.819152,19661, 100
1786185702.9684012,19661, 100
1786185704.1152608,19661, 100
1786185705.2643657,19661, 100
1786185706.3924649,19661, 100
1786185707.5317702,19661, 100
1786185708.6765707,19661, 100
1786185709.8570163,19661, 100
1786185710.9405248,2721, 73
1786185712.0880282,4501, 13
1786185713.2360177,6821, 16
1786185714.3815677,9521, 48
1786185715.4830067,14863, 23
1786185716.6121826,17843, 21
1786185717.7189755,20365, 17
1786185718.8282697,22365, 15
1786185719.9577482,24205, 13
1786185721.0658598,26087, 13
1786185722.2072732,28107, 17
1786185723.3538756,30569, 20
1786185724.4689507,47593, 100
1786185725.6173503,47593, 100
1786185726.766886,47593, 100
1786185727.890218,47593, 100
